	transcript_name	classification_level	full_classification	classification	max_pid	ambiguous	counts
0	k119_1000277_1	class	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta	Bacillariophyta	249.29	0	
0	k119_1001464_2	class	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	Prymnesiophyceae	97.0	0	
0	k119_1001934_1	species	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae; Phaeocystales; Phaeocystaceae; Phaeocystis; Phaeocystis antarctica	Phaeocystis antarctica	425.83	0	
0	k119_1002615_1	order	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae; Prymnesiales	Prymnesiales	47.821	0	
0	k119_1003371_2	species	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae; Phaeocystales; Phaeocystaceae; Phaeocystis; Phaeocystis antarctica	Phaeocystis antarctica	1084.46	0	
0	k119_1003636_1	class	Eukaryota; Hacrobia; Cryptophyta; Cryptophyceae	Cryptophyceae	122.22	0	
0	k119_1005233_4	class	Eukaryota; Rhizaria; Cercozoa; Chlorarachniophyceae	Chlorarachniophyceae	106.7	0	
0	k119_1006050_2	domain	Eukaryota	Eukaryota	84.099	1	
0	k119_1006527_4	order	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Chaetocerotophycidae	Chaetocerotophycidae	56.745	0	
0	k119_1007052_5	order	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria; Oceanospirillales	Oceanospirillales	876.88	0	
0	k119_1007494_1	domain	Eukaryota	Eukaryota	176.54	1	
0	k119_1007557_2	order	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae; Prymnesiales	Prymnesiales	194.97	0	
0	k119_1009118_3	order	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales	Bacillariales	90.01599999999999	0	
0	k119_1009503_1	species	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae; Phaeocystales; Phaeocystaceae; Phaeocystis; Phaeocystis antarctica	Phaeocystis antarctica	206.60999999999999	0	
0	k119_1009515_1	genus	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae; Phaeocystales; Phaeocystaceae; Phaeocystis	Phaeocystis	711.98	0	
0	k119_1013029_2	order	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae; Isochrysidales	Isochrysidales	170.72	0	
0	k119_1013229_1	genus	Eukaryota; Hacrobia; Haptophyta; Pavlovophyceae; Pavlovales; Pavlovaceae; Pavlova	Pavlova	46.657000000000004	0	
0	k119_1015849_1	class	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	Prymnesiophyceae	88.56099999999999	0	
0	k119_101613_1	domain	Eukaryota	Eukaryota	296.82	1	
0	k119_1016394_1	genus	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Chaetocerotophycidae; Chaetocerotales; Chaetoceros	Chaetoceros	173.63	0	
0	k119_1016636_1	family	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Chaetocerotophycidae; Chaetocerotales	Chaetocerotales	288.09	0	
0	k119_1016984_3	species	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae; Phaeocystales; Phaeocystaceae; Phaeocystis; Phaeocystis antarctica	Phaeocystis antarctica	97.0	0	
0	k119_1017072_5	family	Bacteria; Proteobacteria; Alphaproteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae	Rhodobacteraceae	800.25	0	
0	k119_1019148_1	genus	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae; Phaeocystales; Phaeocystaceae; Phaeocystis	Phaeocystis	193.03	0	
0	k119_1020071_1	genus	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae; Phaeocystales; Phaeocystaceae; Phaeocystis	Phaeocystis	416.13	0	
0	k119_1021058_1	class	Eukaryota; Stramenopiles; Ochrophyta; Dictyochophyceae	Dictyochophyceae	67.99699999999999	0	
0	k119_1021063_1	division	Eukaryota; Stramenopiles; Ochrophyta	Ochrophyta	269.65999999999997	0	
0	k119_1021747_1	species	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae; Phaeocystales; Phaeocystaceae; Phaeocystis; Phaeocystis antarctica	Phaeocystis antarctica	150.35	0	
0	k119_1022584_1	class	Eukaryota; Alveolata; Dinoflagellata; Dinophyceae	Dinophyceae	98.94	0	
0	k119_1023888_15	class	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria	Gammaproteobacteria	576.18	1	
0	k119_1023888_9	order	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria; Alteromonadales	Alteromonadales	63.535	0	
0	k119_1025638_2	order	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales	Bacillariales	211.46	0	
0	k119_1026156_2	division	Eukaryota; Hacrobia; Haptophyta	Haptophyta	392.84999999999997	1	
0	k119_1026395_2	genus	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae; Phaeocystales; Phaeocystaceae; Phaeocystis	Phaeocystis	622.74	0	
0	k119_1026694_1	species	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae; Phaeocystales; Phaeocystaceae; Phaeocystis; Phaeocystis antarctica	Phaeocystis antarctica	162.96	0	
0	k119_1027754_1	family	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Flavobacteriia; Flavobacteriales; Flavobacteriaceae	Flavobacteriaceae	301.67	0	
0	k119_1029038_2	genus	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae; Phaeocystales; Phaeocystaceae; Phaeocystis	Phaeocystis	315.25	0	
0	k119_1029116_3	family	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Flavobacteriia; Flavobacteriales; Flavobacteriaceae	Flavobacteriaceae	179.45	0	
0	k119_1029390_1				147.44	1	
0	k119_1030505_1	order	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales	Bacillariales	166.84	0	
